,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Random Forest,0.9152542372881356,0.9038461538461539,0.9038461538461539,0.9038461538461539,0.9452214452214452
SVM,0.8813559322033898,0.8166666666666667,0.9423076923076923,0.875,0.9271561771561772
LightGBM,0.864406779661017,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9475524475524475
XGBoost,0.8559322033898306,0.8181818181818182,0.8653846153846154,0.8411214953271028,0.9434731934731935
Logistic Regression,0.847457627118644,0.8148148148148148,0.8461538461538461,0.8301886792452831,0.907925407925408
MLP,0.8220338983050848,0.7313432835820896,0.9423076923076923,0.8235294117647058,0.9187062937062936
